127.0.0.1 - - [10/Aug/2023:18:13:55 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:14:15 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 500 2490
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:16:20 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 2648
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:16:24 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:16:41 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:16:41 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:16:47 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:17:06 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 2648
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:17:08 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:17:30 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:17:30 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:17:32 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:17:45 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:17:45 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 3600
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:18:11 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:18:24 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
